AOapek,Karel,Karel AOapek
Gaboriau,Emile,Emile Gaboriau
Gadamer,Hans-Georg,Hans-Georg Gadamer
Gaiman,Neil,Neil Gaiman
Galbraith,John Kenneth,John Kenneth Galbraith
Galileo,,Galileo
Galsworthy,John,John Galsworthy
Gandersheim,Roswitha of,Roswitha of Gandersheim
Gandhi,,Gandhi
Gandhi,Mahatma,Mahatma Gandhi
Ganjavi,Nezami,Nezami Ganjavi
Gardner,Helen,Helen Gardner
Garnett,David,David Garnett
Garshin,Vsevolod,Vsevolod Garshin
Gary,Romain,Romain Gary
Gaskell,Elizabeth Cleghorn,Elizabeth Cleghorn Gaskell
Gaskell,Elizabeth,Elizabeth Gaskell
Gasset,Jose Ortega,Jose Ortega Gasset
Gatsos,Nikos,Nikos Gatsos
Gaulle,Charles De,Charles De Gaulle
General,Surgeon,Surgeon General
Genestet,P. A. de,P. A. de Genestet
Genet,Jean,Jean Genet
Genovese,Eugene,Eugene Genovese
George,Henry,Henry George
George,Jean Craighead,Jean Craighead George
Gerhardt,Ida,Ida Gerhardt
Geronimo,,Geronimo
Gibbon,Edward,Edward Gibbon
Gibran,Kahlil,Kahlil Gibran
Gibran,Khalil,Khalil Gibran
Gide,Andre,Andre Gide
Gilman,Charlotte Perkins,Charlotte Perkins Gilman
Ginsberg,Allen,Allen Ginsberg
Ginzburg,Lydia,Lydia Ginzburg
Ginzburg,Natalia,Natalia Ginzburg
Gipson,Fred,Fred Gipson
Gissing,George,George Gissing
Gittings,Robert,Robert Gittings
Gjellerup,Karl,Karl Gjellerup
Gladwell,Malcolm,Malcolm Gladwell
Gleick,James,James Gleick
Godwin,William,William Godwin
Goethe,J. W. von,J. W. von Goethe
Goethe,Johann Wolfgang von,Johann Wolfgang von Goethe
Gogol,Nikolai,Nikolai Gogol
Golden,Arthur,Arthur Golden
Golding,William,William Golding
Goldman,Emma,Emma Goldman
Goldoni,Carlo,Carlo Goldoni
Goldsmith,Oliver,Oliver Goldsmith
Gombrich,Ernest H.,Ernest H. Gombrich
Goncourt,Edmond de,Edmond de Goncourt
Goncourt,Jules de,Jules de Goncourt
Gongora,Luis de,Luis de Gongora
Goodwin,Doris Kearns,Doris Kearns Goodwin
Gorky,Maxim,Maxim Gorky
Gorter,Herman,Herman Gorter
Gould,Stephen Jay,Stephen Jay Gould
Gourevitch,Philip,Philip Gourevitch
Grafton,Sue,Sue Grafton
Grahame,Kenneth,Kenneth Grahame
Gramsci,Antonio,Antonio Gramsci
Grangaud,Michelle,Michelle Grangaud
Grant,Ulysses S.,Ulysses S. Grant
Grave,Jean,Jean Grave
Graves,Robert,Robert Graves
Gray,Thomas,Thomas Gray
Great,Catherine the,Catherine the Great
Green,Anna Katharine,Anna Katharine Green
Green,John,John Green
Greenblatt,Stephen,Stephen Greenblatt
Greene,Graham,Graham Greene
Greer,Germaine,Germaine Greer
Gregory,Lady,Lady Gregory
Grey,George,George Grey
Grey,Zane,Zane Grey
Grimm,Jacob,Jacob Grimm
Grimm,Wilhelm,Wilhelm Grimm
Grisham,John,John Grisham
Gross,John,John Gross
Gross,Theodore L.,Theodore L. Gross
Grossman,Vasily,Vasily Grossman
Gruen,Sara,Sara Gruen
Guillen,Nicolas,Nicolas Guillen
Guterson,David,David Guterson
HEmon,Louis,Louis HEmon
Habermas,Jurgen,Jurgen Habermas
Haddon,Mark,Mark Haddon
Hadewijch,,Hadewijch
Haggard,H. Rider,H. Rider Haggard
Hahn,Ulla,Ulla Hahn
Haley,Alex,Alex Haley
Hall,Radclyffe,Radclyffe Hall
Hamilton,Alexander,Alexander Hamilton
Hamilton,Cicely,Cicely Hamilton
Hamilton,Edith,Edith Hamilton
Hamilton,Virginia,Virginia Hamilton
Hammett,Dashiell,Dashiell Hammett
Hamsun,Knut,Knut Hamsun
Hansberry,Lorraine,Lorraine Hansberry
Harari,Yuval Noah,Yuval Noah Harari
Harbou,Thea von,Thea von Harbou
Hardy,G. H.,G. H. Hardy
Hardy,Thomas,Thomas Hardy
Hare,David,David Hare
Harper,Frances Ellen Watkins,Frances Ellen Watkins Harper
Harrer,Heinrich,Heinrich Harrer
Harrison,Harry,Harry Harrison
Haverschmidt,Francois,Francois Haverschmidt
Hawk,Black,Black Hawk
Hawking,Stephen,Stephen Hawking
Hawkins,Paula,Paula Hawkins
Hawthorne,Nathaniel,Nathaniel Hawthorne
Hayek,Friedrich von,Friedrich von Hayek
Hazlitt,William,William Hazlitt
Heaney,Seamus,Seamus Heaney
Heat-Moon,William Least,William Least Heat-Moon
Hegel,G. W. F.,G. W. F. Hegel
Hegel,Georg Wilhelm Friedrich,Georg Wilhelm Friedrich Hegel
Heidegger,Martin,Martin Heidegger
Heimonas,Giorgos,Giorgos Heimonas
Heine,Heinrich,Heinrich Heine
Heinlein,Robert A.,Robert A. Heinlein
Hejinian,Lyn,Lyn Hejinian
Heller,Joseph,Joseph Heller
Hemingway,Ernest,Ernest Hemingway
Henry,Marguerite,Marguerite Henry
Henry,Michel,Michel Henry
Henry,O.,O. Henry
Henson,Matthew,Matthew Henson
Heracleitus,,Heracleitus
Heraclitus,,Heraclitus
Herbert,George,George Herbert
Herbert,Zbigniew,Zbigniew Herbert
Herder,Johann Gottfried,Johann Gottfried Herder
Hernandez,Jose,Jose Hernandez
Herodotus,,Herodotus
Herr,Michael,Michael Herr
Hersey,John,John Hersey
Herzen,Alexander,Alexander Herzen
Herzl,Theodor,Theodor Herzl
